search_query,job_title,company,loc,posting_recency,employment_type,work_arrangement_type,experience_lvl,skill,min_years_of_exp
Data Analyst,Data Analyst manager,Confidential,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,Accounting/Finance,5.0
Data Analyst,Data Analyst manager,Confidential,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,Analyst/Research,5.0
Data Analyst,Data Analyst manager,Confidential,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,Analyst,5.0
Data Analyst,Data Analyst manager,Confidential,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,Analysis,5.0
Data Analyst,Data Analyst manager,Confidential,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,Data Analysis,5.0
Data Analyst,Data Analyst manager,Confidential,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,Data Analyst,5.0
Data Analyst,Data Analyst manager,Confidential,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,analytical,5.0
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt ,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,Analyst/Research,0.0
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt ,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,Sales/Retail,0.0
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt ,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,Invoices,0.0
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt ,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,Auditing,0.0
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt ,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,Selling Database,0.0
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt ,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,Selling Volume,0.0
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt ,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,Analyst,0.0
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt ,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,Commerce,0.0
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt ,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,Administration,0.0
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt ,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,Commercial,0.0
Data Analyst,Data Analyst,HIGHBASE TRADING W.L.L,"Cairo,Egypt",9 days ago,Full Time,Remote,Experienced,IT/Software Development,4.0
Data Analyst,Data Analyst,HIGHBASE TRADING W.L.L,"Cairo,Egypt",9 days ago,Full Time,Remote,Experienced,Data Analysis,4.0
Data Analyst,Data Analyst,HIGHBASE TRADING W.L.L,"Cairo,Egypt",9 days ago,Full Time,Remote,Experienced,SQL,4.0
Data Analyst,Data Analyst,HIGHBASE TRADING W.L.L,"Cairo,Egypt",9 days ago,Full Time,Remote,Experienced,Excel,4.0
Data Analyst,Data Analyst,HIGHBASE TRADING W.L.L,"Cairo,Egypt",9 days ago,Full Time,Remote,Experienced,Power BI,4.0
