search_query,job_title,company,loc,posting_recency,employment_type,work_arrangement_type,experience_lvl,years_of_experience,skill
Data Analyst,Data Analyst manager,Confidential -,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,·5 - 7 Yrs of Exp,·Accounting/Finance
Data Analyst,Data Analyst manager,Confidential -,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,·5 - 7 Yrs of Exp,·Analyst/Research
Data Analyst,Data Analyst manager,Confidential -,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,·5 - 7 Yrs of Exp,Analyst
Data Analyst,Data Analyst manager,Confidential -,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,·5 - 7 Yrs of Exp,· Analysis
Data Analyst,Data Analyst manager,Confidential -,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,·5 - 7 Yrs of Exp,Data Analysis
Data Analyst,Data Analyst manager,Confidential -,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,·5 - 7 Yrs of Exp,Data Analyst
Data Analyst,Data Analyst manager,Confidential -,"New Cairo,Cairo,Egypt",7 days ago,Full Time,On-site,Manager,·5 - 7 Yrs of Exp,· analytical
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt  -,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,·0 - 2 Yrs of Exp,·Analyst/Research
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt  -,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,·0 - 2 Yrs of Exp,·Sales/Retail
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt  -,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,·0 - 2 Yrs of Exp,· Invoices
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt  -,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,·0 - 2 Yrs of Exp,· Auditing
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt  -,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,·0 - 2 Yrs of Exp,· Selling Database
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt  -,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,·0 - 2 Yrs of Exp,· Selling Volume
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt  -,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,·0 - 2 Yrs of Exp,Analyst
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt  -,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,·0 - 2 Yrs of Exp,· Commerce
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt  -,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,·0 - 2 Yrs of Exp,· Administration
Data Analyst,Commercial Specialist-Data Analyst (Chinese Speaker),OPPO Egypt  -,"Nasr City,Cairo,Egypt",7 days ago,Full Time,On-site,Entry Level,·0 - 2 Yrs of Exp,· Commercial
Data Analyst,Data Analyst,HIGHBASE TRADING W.L.L -,"Cairo,Egypt",9 days ago,Full Time,Remote,Experienced,·4 - 6 Yrs of Exp,·IT/Software Development
Data Analyst,Data Analyst,HIGHBASE TRADING W.L.L -,"Cairo,Egypt",9 days ago,Full Time,Remote,Experienced,·4 - 6 Yrs of Exp,Data Analysis
Data Analyst,Data Analyst,HIGHBASE TRADING W.L.L -,"Cairo,Egypt",9 days ago,Full Time,Remote,Experienced,·4 - 6 Yrs of Exp,· SQL
Data Analyst,Data Analyst,HIGHBASE TRADING W.L.L -,"Cairo,Egypt",9 days ago,Full Time,Remote,Experienced,·4 - 6 Yrs of Exp,· Excel
